pmid,title,abstract,year,journal,doi,publication_date,authors,keywords,alignment_score,tfidf_alignment_score,is_outlier
41695741,"Orthopedic trinity: Arthroscopy, sports medicine, and regenerative orthopedics.","Musculoskeletal conditions are among the leading causes of disability worldwide, necessitating the development of effective, specialized treatment approaches. In response, orthopedic practice has evolved into three distinct specialties: Arthroscopy, sports medicine, and regenerative orthopedics. Each domain represents a fundamentally different approach to musculoskeletal care: Arthroscopy addresses structural pathology through surgical intervention, sports medicine optimizes function through rehabilitation, and regenerative orthopedics modulates healing through biological therapies. These distinct methodologies serve different patient populations and clinical scenarios, requiring specialized training, equipment, and expertise. This review explores the historical evolution, unique therapeutic modalities, and independent clinical applications of these three fields, with emphasis on the Indian orthopedic landscape. Through a narrative synthesis of literature indexed in PubMed, Scopus, and peer-reviewed Indian sources, we delineate specific indications, outcome metrics, and innovations unique to each specialty. The future of orthopedic care lies not in forced integration but in the strategic application of the most appropriate specialty for each clinical scenario, ensuring optimal resource utilization and maintaining clinical excellence within each distinct discipline.",2026,World journal of orthopedics,10.5312/wjo.v17.i2.113197,2026-02-18,Madhan Jeyaraman; A S P V S Saketh; Naveen Jeyaraman; Swaminathan Ramasubramanian; Arulkumar Nallakumarasamy; Sathish Muthu,Arthroscopy; Orthopedic subspecialties; Regenerative orthopedics; Specialized care; Sports medicine,0.6698190300864599,0.17173768089192523,True
41608494,Factors associated with aseptic loosening after primary total hip arthroplasty: A systematic review and meta-analysis.,"BACKGROUND: Aseptic loosening remains the leading cause of revision in primary total hip arthroplasty (pTHA). However, the literature demonstrates significant variability regarding the relative contributions of different factors. AIM: To investigate the key determinants of aseptic loosening, we performed a systematic review and meta-analysis. METHODS: A comprehensive search of PubMed, Web of Science, EMBASE, and the Cochrane Library was conducted, encompassing studies from database inception to January 1, 2025. Meta-analyses were performed to evaluate factors associated with aseptic loosening following pTHA. Inclusion and exclusion criteria were systematically applied at each stage to ensure methodological transparency and reproducibility. Study quality was assessed using standardized categories. Pooled odds ratio (OR) with corresponding 95% confidence interval were calculated with random- or fixed-effects models to generate reliability estimates, and study heterogeneity was visualized using forest plots. Ten factors, categorized into patient-, surgeon-, and device-related domains, were reviewed and meta-analyzed. Funnel plot analysis demonstrated a relatively symmetrical distribution, suggesting minimal publication bias. RESULTS: A meta-analysis of 20 studies (520789 participants) found a pooled prevalence of 1.96%. Significant risk factors for aseptic loosening after pTHA included elevated body mass index (OR = 1.116, P < 0.001), higher Charlson comorbidity index (OR = 1.378, P < 0.001), prosthesis-related factors (OR = 1.497, P < 0.001), and adverse lifestyles (OR = 2.198, P = 0.037). Protective factors were non-white race (OR = 0.445, P < 0.001) and favorable genetics (OR = 0.723, P < 0.001). Male sex increased risk (OR = 1.232, P = 0.016), while age and anatomy were not significant. Surgical expertise showed a slight protective effect (OR = 1.048, P < 0.001). A comprehensive understanding of the modifiable and non-modifiable factors contributing to aseptic loosening after pTHA requires consideration of patient-related factors, surgical expertise, and prosthesis characteristics. CONCLUSION: The identification of these factors is critical for risk mitigation. High-risk patients should receive targeted counseling regarding individualized profiles. Further studies are warranted to establish clearer causal relationships and identify additional contributing factors.",2026,World journal of orthopedics,10.5312/wjo.v17.i1.114482,2026-01-18,Guo-Qing Li; Ji Zhang; Yong Huang,Aseptic loosening; Factors; Meta-analysis; Primary total hip arthroplasty; Systematic review,0.55557656417792,0.10691195830401058,True
41480508,Advancing global orthopedic research through culturally adapted outcome measures.,"Patient-reported outcome measures (PROMs) are essential in orthopedic research and clinical practice, promoting standardized assessments of treatment efficacy and patient well-being. However, their validity across diverse populations depends on rigorous processes of translation, cultural adaptation, and validation. AlMousa et al successfully validated the Arabic version of the American Academy of Orthopedic Surgeons Foot and Ankle Outcomes Questionnaire, demonstrating strong reliability and clinical applicability for Arabic-speaking patients with traumatic foot and ankle injuries. This article highlights the vital role of culturally adapted PROMs in expanding the global scope of orthopedic research, enhancing patient-centered care, and promoting international collaboration. By addressing linguistic and cultural barriers, such adaptations support a more comprehensive and inclusive approach to evidence-based medicine. Future research should aim to optimize the integration of adapted PROMs into clinical practice, evaluate their influences on treatment decision-making, and investigate their functions in large-scale multicenter studies to further globally advance orthopedic research.",2025,World journal of orthopedics,10.5312/wjo.v16.i12.111583,2025-12-18,Yao Peng; Qiang-Qiang You; Fa Shu; Jia-Qi Zhang,Cultural adaptation; Evidence-based medicine; Foot and ankle injuries; Orthopedic research; Patient-reported outcome measures,0.5747899060489854,0.16663904573379207,True
41181042,Emerging neural modulation techniques for the management of phantom limb pain: Evidence from randomized controlled trials.,"Phantom limb pain (PLP), a common sequela of amputation, affects up to 86% of amputees and significantly impairs quality of life. PLP is thought to stem from complex central and peripheral nervous system plasticity. Current treatments, including pharmacological and non-pharmacological approaches, have limited efficacy. Recently, extended reality technologies have emerged as promising tools for PLP management, leveraging immersive sensory input to modulate cortical reorganization. Of note, emerging neural modulation techniques also offer promising alternatives, including peripheral nerve stimulation, repetitive transcranial magnetic stimulation and transcranial direct current stimulation. These approaches demonstrate clinical efficacy in relieving pain, improving functional outcomes and reducing opioid usage. Future research could prioritize large-scale trials to validate the efficacy of nerve stimulation techniques and explore their integration with extended reality technologies for PLP.",2025,World journal of orthopedics,10.5312/wjo.v16.i10.111521,2025-10-18,Ming-Hui Dong; Yu-Qin Yao; Qiong-Yue Cao; Zheng Li; Jian Na,Peripheral nerve stimulation; Phantom limb pain; Repetitive transcranial magnetic stimulation; Transcranial direct current stimulation; Treatments,0.18734436411277033,0.057032018882280766,True
40979145,Towards comprehensive care in crush syndrome: Expanding the multidisciplinary framework.,"Crush syndrome demands an integrated multidisciplinary approach that spans acute surgical decisions and long-term functional recovery. In response to Khan et al 's recent systematic review, we propose complementary perspectives that address two underrepresented dimensions: Vascular surgical decision-making and psychiatric rehabilitation. We emphasize the use of intraoperative technologies such as indocyanine green fluorescence angiography and compartment pressure monitoring to guide limb salvage strategies and reperfusion management. Additionally, we advocate for the systematic integration of mental health screening and trauma-informed psychiatric care to address the high prevalence of psychological distress in survivors. Embedding these domains into standardized protocols could enhance both short- and long-term outcomes, particularly in high-impact trauma and disaster settings.",2025,World journal of orthopedics,10.5312/wjo.v16.i9.111218,2025-09-18,Luca Galassi; Federica Facchinetti,Compartment syndrome; Crush syndrome; Fasciotomy; Mental health; Multidisciplinary management; Reperfusion injury; Thromboembolism,0.21008221859721893,0.09560481892525005,True
40547242,Arthroscopic management of a rare free-edge medial meniscal cyst: A case report.,"BACKGROUND: Meniscal cysts are a relatively uncommon form of meniscus pathology and often coexist with meniscus tears or degeneration. They are typically diagnosed as intra-meniscal cysts or para-meniscal cysts. The majority of para-meniscal cysts protrude towards the joint capsule side of the meniscus, and to date, no cases have been documented at the free edge of the meniscus. The present case of free-edge medial meniscal cysts will contribute to a deeper understanding of meniscal cysts. CASE SUMMARY: A 30-year-old male presented with intermittent right knee pain six months ago. Diagnostic arthroscopic examination revealed a medial meniscus tear accompanied by a meniscal cyst. The patient's clinical findings, imaging results, surgical procedures, relevant images and outcomes are described. The unique aspect of this case is the occurrence of the meniscal cyst at the free-edge of the meniscus, providing valuable insights for the classification and further study of meniscal cysts. CONCLUSION: This first case of meniscal free-edge cyst exemplifies the expansion of the spectrum of morphological types of meniscal cysts.",2025,World journal of orthopedics,10.5312/wjo.v16.i6.108454,2025-06-18,Ming Ding; Bing-Hui Liao; Lei Shangguan; Ying-Chun Wang; Hu Xu,Case report; Knee arthroscopy; Magnetic resonance imaging; Meniscal cyst; Meniscus tear,0.20848316619311175,0.06443444355898172,True
40496261,Long non-coding RNA GAS5 promotes neuronal apoptosis in spinal cord injury via the miR-21/PTEN axis.,"BACKGROUND: Spinal cord injury (SCI) is a severe and permanent trauma that often leads to significant motor, sensory, and autonomic dysfunction. Neuronal apoptosis is a major pathomechanism underlying secondary injury in SCI. Long non-coding RNAs (lncRNAs) have emerged as key regulators of gene expression and cellular processes, including apoptosis. However, the role of lncRNA growth arrest-specific transcript 5 (GAS5) in SCI-induced neuronal apoptosis remains unclear. AIM: To investigate the role of lncRNA GAS5 in SCI-induced neuronal apoptosis via its interaction with microRNA (miR)-21 and the phosphatase and tensin homolog (PTEN)/AKT pathway. METHODS: SCI rat models and hypoxic neuronal cell models were established. Motor function was assessed using the Basso-Beattie-Bresnahan score. Expression levels of GAS5, miR-21, PTEN, caspase 3, B-cell lymphoma 2 (Bcl-2), Bcl-2-associated X protein (Bax), and AKT were measured using quantitative PCR or Western blot analysis. Neuronal apoptosis was determined by TUNEL staining. Dual-luciferase reporter assays validated GAS5-miR-21 binding. Knockdown and overexpression experiments explored the functional effects of the GAS5/miR-21 axis. RESULTS: GAS5 was significantly upregulated in the spinal cord following SCI, coinciding with increased neuronal apoptosis and decreased AKT activation. In vitro experiments demonstrated that GAS5 acted as a molecular sponge for miR-21, leading to increased PTEN expression and inhibition of the AKT signaling pathway, thereby promoting apoptosis. In vivo , GAS5 knockdown attenuated neuronal apoptosis, enhanced AKT activation, and improved motor function recovery in SCI rats. CONCLUSION: GAS5 promotes neuronal apoptosis in SCI by binding to miR-21 and upregulating PTEN expression, inhibiting the AKT pathway. Targeting GAS5 may represent a novel therapeutic strategy for SCI.",2025,World journal of orthopedics,10.5312/wjo.v16.i5.106183,2025-05-18,Ying-Jie Wang; Zhong-Zheng Zhi; Tao Liu; Jian Kang; Guang-Hui Xu,Growth arrest-specific transcript 5; Long non-coding RNA; MicroRNA-21; Neuronal apoptosis; Spinal cord injury,0.18874591706910382,0.039738331369348776,True
39850040,Limited evidence to support demineralized bone matrix in foot and ankle surgical procedures: A systematic review.,"BACKGROUND: Demineralized bone matrix (DBM) is a commonly utilized allogenic bone graft substitute to promote osseous union. However, little is known regarding outcomes following DBM utilization in foot and ankle surgical procedures. AIM: To evaluate the clinical and radiographic outcomes following DBM as a biological adjunct in foot and ankle surgical procedures. METHODS: During May 2023, the PubMed, EMBASE and Cochrane library databases were systematically reviewed to identify clinical studies examining outcomes following DBM for the management of various foot and ankle pathologies. Data regarding study characteristics, patient demographics, subjective clinical outcomes, radiological outcomes, complications, and failure rates were extracted and analyzed. In addition, the level of evidence (LOE) and quality of evidence (QOE) for each individual study was also assessed. Thirteen studies were included in this review. RESULTS: In total, 363 patients (397 ankles and feet) received DBM as part of their surgical procedure at a weighted mean follow-up time of 20.8 ± 9.2 months. The most common procedure performed was ankle arthrodesis in 94 patients (25.9%). Other procedures performed included hindfoot fusion, 1st metatarsophalangeal joint arthrodesis, 5th metatarsal intramedullary screw fixation, hallux valgus correction, osteochondral lesion of the talus repair and unicameral talar cyst resection. The osseous union rate in the ankle and hindfoot arthrodesis cohort, base of the 5 th metatarsal cohort, and calcaneal fracture cohort was 85.6%, 100%, and 100%, respectively. The weighted mean visual analog scale in the osteochondral lesions of the talus cohort improved from a pre-operative score of 7.6 ± 0.1 to a post-operative score of 0.4 ± 0.1. The overall complication rate was 27.2%, the most common of which was non-union (8.8%). There were 43 failures (10.8%) all of which warranted a further surgical procedure. CONCLUSION: This current systematic review demonstrated that the utilization of DBM in foot and ankle surgical procedures led to satisfactory osseous union rates with favorable wound complication rates. Excellent outcomes were observed in patients undergoing fracture fixation augmented with DBM, with mixed evidence supporting the routine use of DBM in fusion procedures of the ankle and hindfoot. However, the low LOE together with the low QOE and significant heterogeneity between the included studies reinforces the need for randomized control trials to be conducted to identify the optimal role of DBM in the setting of foot and ankle surgical procedures.",2025,World journal of orthopedics,10.5312/wjo.v16.i1.97848,2025-01-18,Hayden Hartman; James J Butler; Megan Calton; Charles C Lin; Samantha Rettig; Jared C Tishelman; Sebastian Krebsbach; Grace W Randall; John G Kennedy,Allogenic bone graft; Arthrodesis; Biological adjunct; Bone morphogenetic proteins; Demineralized bone matrix; Lower limb fusion; Systematic review; osseous union,0.5641109174696832,0.12794482166872304,True
39850033,Role of neurogenic inflammation in intervertebral disc degeneration.,"In healthy intervertebral discs (IVDs), nerves and blood vessels are present only in the outer annulus fibrosus, while in degenerative IVDs, a large amount of nerve and blood vessel tissue grows inward. Evidence supports that neurogenic inflammation produced by neuropeptides such as substance P and calcitonin gene related peptide released by the nociceptive nerve fibers innervating the IVDs plays a crucial role in the process of IVD degeneration. Recently, non-neuronal cells, including IVD cells and infiltrating immune cells, have emerged as important players in neurogenic inflammation. IVD cells and infiltrating immune cells express functional receptors for neuropeptides through which they receive signals from the nervous system. In return, IVD cells and immune cells produce neuropeptides and nerve growth factor, which stimulate nerve fibers. This communication generates a positive bidirectional feedback loop that can enhance the inflammatory response of the IVD. Recently emerging transient receptor potential channels have been recognized as contributors to neurogenic inflammation in the degenerative IVDs. These findings suggest that neurogenic inflammation involves complex pathophysiological interactions between sensory nerves and multiple cell types in the degenerative IVDs. Clarifying the mechanism of neurogenic inflammation in IVD degeneration may provide in-depth understanding of the pathology of discogenic low back pain.",2025,World journal of orthopedics,10.5312/wjo.v16.i1.102120,2025-01-18,Bao-Gan Peng; Yong-Chao Li; Liang Yang,Discogenic low back pain; Intervertebral disc degeneration; Neurogenic inflammation; Neuropeptides; Neurotrophins; Transient receptor potential channels,0.050142028326557696,0.060430966677979404,True
39600859,Metagenomic next-generation sequencing may assist diagnosis of osteomyelitis caused by Mycobacterium houstonense : A case report.,"BACKGROUND: Mycobacterium houstonense ( M. houstonense ) belongs to the nontuberculous mycobacterium group. Infection caused by M. houstonense is prone to recurrence. CASE SUMMARY: We present a patient who was diagnosed with osteomyelitis caused by M. houstonense and treated with a combination of cefoxitin, and amikacin combined with linezolid. CONCLUSION: The emergence of metagenomic next-generation sequencing (NGS) has brought new hope for the diagnosis and treatment of listeria meningitis. NGS can analyze a large number of nucleic acid sequences in a short time and quickly determine the pathogen species in the sample. Compared with traditional cerebrospinal fluid culture, NGS can greatly shorten the diagnosis time and provide strong support for the timely treatment of patients. Regarding treatment, NGS can also play an important role. Rapid and accurate diagnosis can enable patients to start targeted treatment as soon as possible and improve the treatment effect. At the same time, by monitoring the changes in pathogen resistance, the treatment plan can be adjusted in time to avoid treatment failure.",2024,World journal of orthopedics,10.5312/wjo.v15.i11.1095,2024-11-18,Hong-Yin Lin; Quan-Hui Tan,Case report; Diagnosis; Metagenomic next-generation sequencing; Mycobacterium houstonense; Osteomyelitis; Treatment,0.1449700218835055,0.0743883705544369,True
