pmid,title,abstract,year,journal,doi,publication_date,authors,keywords,alignment_score,tfidf_alignment_score,is_outlier
39850033,Role of neurogenic inflammation in intervertebral disc degeneration.,"In healthy intervertebral discs (IVDs), nerves and blood vessels are present only in the outer annulus fibrosus, while in degenerative IVDs, a large amount of nerve and blood vessel tissue grows inward. Evidence supports that neurogenic inflammation produced by neuropeptides such as substance P and calcitonin gene related peptide released by the nociceptive nerve fibers innervating the IVDs plays a crucial role in the process of IVD degeneration. Recently, non-neuronal cells, including IVD cells and infiltrating immune cells, have emerged as important players in neurogenic inflammation. IVD cells and infiltrating immune cells express functional receptors for neuropeptides through which they receive signals from the nervous system. In return, IVD cells and immune cells produce neuropeptides and nerve growth factor, which stimulate nerve fibers. This communication generates a positive bidirectional feedback loop that can enhance the inflammatory response of the IVD. Recently emerging transient receptor potential channels have been recognized as contributors to neurogenic inflammation in the degenerative IVDs. These findings suggest that neurogenic inflammation involves complex pathophysiological interactions between sensory nerves and multiple cell types in the degenerative IVDs. Clarifying the mechanism of neurogenic inflammation in IVD degeneration may provide in-depth understanding of the pathology of discogenic low back pain.",2025,World journal of orthopedics,10.5312/wjo.v16.i1.102120,2025-01-18,Bao-Gan Peng; Yong-Chao Li; Liang Yang,Discogenic low back pain; Intervertebral disc degeneration; Neurogenic inflammation; Neuropeptides; Neurotrophins; Transient receptor potential channels,0.050142028326557696,0.060430966677979404,True
29312846,Role of fast-setting cements in arthroplasty: A comparative analysis of characteristics.,"AIM: To evaluate the behaviour of two fast-setting polymethylmethacrylate (PMMA) cements CMW ® 2G and Palacos ® fast R + G, as reference: Standard-setting Palacos ® R + G. METHODS: The fast-setting cements CMW ® 2G and Palacos ® fast R + G were studied, using standard-setting high viscosity Palacos ® R + G as a reference. Eleven units (of two batch numbers) of each cement were tested. All cements were mixed as specified by the manufacturer and analysed on the following parameters: Handling properties (mixing, waiting, working and hardening phase) according to Kuehn, Mechanical properties according to ISO 5833 and DIN 53435, Fatigue strength according to ISO 16402, Benzoyl Peroxide (BPO) - Content by titration, powder/liquid-ratio by weighing, antibiotic elution profile by High Performance Liquid Chromatography. All tests were done in an acclimatised laboratory with temperatures set at 23.5 °C ± 0.5 °C and a humidity of > 40%. RESULTS: Palacos ® fast R + G showed slightly shorter handling properties (doughing, hardening phase, n = 12) than CMW ® 2G, allowing to reduce operative time and to optimise cemented cup implantation. Data of the quasistatic properties of ISO 5833 and DIN 53435 of both cements tested was comparable. The ISO compressive strength (MPa) of Palacos ® fast R + G was significantly higher than CMW ® 2G, resulting in ANOVA ( P < 0.01) and two sample t -test ( P < 0.01) at 0.05 level of significance ( n = 20). Palacos ® fast R + G showed a higher fatigue strength of about 18% mean (ISO 16402) of 15.3 MPa instead of 13.0 MPa for CMW ® 2G ( n = 5 × 10 6 cycles). Palacos ® fast R + G and CMW ® 2G differed only by 0.11% ( n = 6) with the former having the higher content. The BPO-content of both cements were therefore comparable. CMW ® 2G had a powder/liquid ratio of 2:1, Palacos ® fast R + G of 2.550:1 due to a higher powder content. Despite its higher gentamicin content, CMW ® 2G showed a significantly lower antibiotic elution over time than Palacos ® fast R + G ( n = 3). CONCLUSION: Both cements are compliant with international standards and are highly suitable for their specified surgical indications, affording a time-saving measure without detriment to the mechanical properties.",2017,World journal of orthopedics,10.5312/wjo.v8.i12.881,2017-12-18,Neil Ayron Caraan; Reinhard Windhager; Jason Webb; Nadine Zentgraf; Klaus-Dieter Kuehn,Antibiotic; Arthroplasty; Elution; Fast-setting; Fatigue; Polymethylmethacrylate; Viscosity,0.07329803188128722,0.05433875041331405,True
28032039,Glomus tumors of the fingers: Expression of vascular endothelial growth factor.,"Glomus tumors are uncommon, benign, small neurovascular neoplasms derived from glomus bodies in the reticular dermis. Glomus bodies are found throughout the body to regulate body temperature and skin circulation; however, they are concentrated in the fingers and the sole of the foot. The typical presentation is a solitary nodule in the subungual or periungual area of the distal phalanx. The primary treatment of choice is surgical removal. We investigated expression of vascular endothelial growth factor (VEGF) using immunohistochemistry in glomus tumors of the fingers. All five glomus tumor samples were positive for VEGF expression. VEGF immunoreactivity was largely localized to the cytoplasm of tumor cells, suggesting a contribution of VEGF to the vascularization of glomus tumors.",2016,World journal of orthopedics,10.5312/wjo.v7.i12.843,2016-12-18,Sittisak Honsawek; Pravit Kitidumrongsook; Pobe Luangjarmekorn; Kawee Pataradool; Voranuch Thanakit; Adisorn Patradul,Fingers; Glomus tumors; Vascular endothelial growth factor,0.08792268906500295,0.07125315413092878,True
34189074,"Slacklining: A narrative review on the origins, neuromechanical models and therapeutic use.","Slacklining, the neuromechanical action of balance retention on a tightened band, is achieved through self-learned strategies combining dynamic stability with optimal energy expenditure. Published slacklining literature is recent and limited, including for neuromechanical control strategy models. This paper explores slacklining's definitions and origins to provide background that facilitates understanding its evolution and progressive incorporation into both prehabilitation and rehabilitation. Existing explanatory slacklining models are considered, their application to balance and stability, and knowledge-gaps highlighted. Current slacklining models predominantly derive from human quiet-standing and frontal plane movement on stable surfaces. These provide a multi-tiered context of the unique and complex neuro-motoric requirements for slacklining's multiple applications, but are not sufficiently comprehensive. This consequently leaves an incomplete understanding of how slacklining is achieved, in relation to multi-directional instability and complex multi-dimensional human movement and behavior. This paper highlights the knowledge-gaps and sets a foundation for the required explanatory control mechanisms that evolve and expand a more detailed model of multi-dimensional slacklining and human functional movement. Such a model facilitates a more complete understanding of existing performance and rehabilitation applications that opens the potential for future applications into broader areas of movement in diverse fields including prostheses, automation and machine-learning related to movement phenotypes.",2021,World journal of orthopedics,10.5312/wjo.v12.i6.360,2021-06-18,Charles Philip Gabel; Bernard Guy; Hamid Reza Mokhtarinia; Markus Melloh,Balance; Human movement; Model; Neuromechanics; Rehabilitation; Slacklining,0.11138610075116559,0.06655681449364832,True
27622153,Slacklining and stroke: A rehabilitation case study considering balance and lower limb weakness.,"To ascertain the effectiveness of slacklining as a supplementary therapy for elderly stroke patients who are functionally non-progressing. This case study involved an 18-mo prospective observation of the management of an 87-year-old female stroke-patient of the left hemisphere with reduced balance, reduced lower limb muscular activation, hypertonia, and concurrent postural deficits. This entailed the initial acute care phase through to discharge to home and 18-mo final status in her original independent living setting. The introduction of slacklining as an adjunct therapy was made 12 mo post incident. Slacklining involves balance retention on a tightened band where external environmental changes cause a whole-body dynamic response to retain equilibrium. It is a complex neuromechanical task enabling individualized self-developed response strategies to be learned and adapted. This facilitates the innate process of balance retention, lower-limb and core muscle activation, and stable posture through a combination of learned motor skills and neurological system down regulation. Individuals adopt and follow established sequential motor learning stages where the acquired balance skills are achieved in a challenging composite-chain activity. Slacklining could be considered an adjunct therapy for lower limb stroke rehabilitation where function is compromised due to decreased muscle recruitment, decreased postural control and compromised balance. Initial inpatient rehabilitation involved one-month acute-care, one-month rehabilitation, and one-month transitional care prior to home discharge. A further six months of intensive outpatient rehabilitation was provided with five hourly sessions per week including:supervised and self-managed hydrotherapy, plus one individual and two group falls' prevention sessions. These were supported by daily home exercises. At 12 mo post incident, recovery plateaued, then regressed following three falls. Rehabilitation was subsequently modified with the hydrotherapy retained and the group sessions replaced with an additional individual session supplemented with slacklining. The slacklining followed stages one and two of a standardized five-stage protocol. Self-reported functional progression resumed with improvement by 14 mo which further increased and was sustained 18 mo (Students' t test P < 0.05). Slacklining's external stimulations activate global-body responses through innate balance, optimal postural and potentially down-regulated reflex control. Incorporated into stroke rehabilitation programs, slacklining can provide measurable functional gains.",2016,World journal of orthopedics,10.5312/wjo.v7.i8.513,2016-08-18,Charles P Gabel; Natalie Rando; Markus Melloh,Balance; Lower limbs; Rehabilitation; Slacklining; Stroke,0.13713189426027778,0.07279135776740028,True
39600859,Metagenomic next-generation sequencing may assist diagnosis of osteomyelitis caused by Mycobacterium houstonense : A case report.,"BACKGROUND: Mycobacterium houstonense ( M. houstonense ) belongs to the nontuberculous mycobacterium group. Infection caused by M. houstonense is prone to recurrence. CASE SUMMARY: We present a patient who was diagnosed with osteomyelitis caused by M. houstonense and treated with a combination of cefoxitin, and amikacin combined with linezolid. CONCLUSION: The emergence of metagenomic next-generation sequencing (NGS) has brought new hope for the diagnosis and treatment of listeria meningitis. NGS can analyze a large number of nucleic acid sequences in a short time and quickly determine the pathogen species in the sample. Compared with traditional cerebrospinal fluid culture, NGS can greatly shorten the diagnosis time and provide strong support for the timely treatment of patients. Regarding treatment, NGS can also play an important role. Rapid and accurate diagnosis can enable patients to start targeted treatment as soon as possible and improve the treatment effect. At the same time, by monitoring the changes in pathogen resistance, the treatment plan can be adjusted in time to avoid treatment failure.",2024,World journal of orthopedics,10.5312/wjo.v15.i11.1095,2024-11-18,Hong-Yin Lin; Quan-Hui Tan,Case report; Diagnosis; Metagenomic next-generation sequencing; Mycobacterium houstonense; Osteomyelitis; Treatment,0.1449700218835055,0.0743883705544369,True
28660138,Emergent reintubation following elective cervical surgery: A case series.,"AIM: To review cases of emergent reintubation after cervical surgery. METHODS: Patients who were emergently intubated in the post-operative period following cervical surgery were identified. The patients' prospectively documented demographic parameters, medical history and clinical symptoms were ascertained. Pre-operative radiographs were examined for the extent of their pathology. The details of the operative procedure were discerned. RESULTS: Eight hundred and eighty patients received anterior- or combined anterior-posterior cervical surgery from 2008-2013. Nine patients (1.02%) required emergent reintubation. The interval between extubation to reintubation was 6.2 h [1-12]. Patients were kept intubated after reintubation for 2.3 d [2-3]. Seven patients displayed moderate postoperative edema. One patient was diagnosed with a compressive hematoma which was subsequently evacuated in the OR. Another patient was diagnosed with a pulmonary effusion and treated with diuretics. One patient received a late debridement for an infected hematoma. Six patients reported residual symptoms and three patients made a complete recovery. CONCLUSION: Respiratory compromise is a rare but potentially life threatening complication following cervical surgery. Patients at increased risk should be monitored closely for extended periods of time post-operatively. If the airway is restored adequately in a timely manner through emergent re-intubation, the outcome of the patients is generally favorable.",2017,World journal of orthopedics,10.5312/wjo.v8.i6.465,2017-06-18,Joshua Schroeder; Stephan N Salzmann; Alexander P Hughes; James D Beckman; Jennifer Shue; Federico P Girardi,Airway compromise; Cervical surgery; Complication; Hematoma; Reintubation,0.156543214972363,0.07803099438053229,True
36159620,Social media growth of orthopaedic surgery residency programs in response to the COVID-19 pandemic.,"BACKGROUND: In the Spring of 2020, residency programs across the country experienced rapid and drastic changes to their application process as a result of the coronavirus disease 2019 (COVID-19) pandemic. In response, residency programs shifted to virtual events and began harnessing social media to communicate with applicants. AIM: To analyze the changes in social media usage by orthopaedic surgery programs in response to the COVID-19 pandemic. METHODS: Based on the 2019 residency and fellowship electronic database, accredited US orthopaedic surgery programs were reviewed for social media presence on Instagram and Twitter. Approximately 47000 tweets from 2011-2021 were extracted through the Twitter application programming interface. We extracted: Total number of followers, accounts following, tweets, likes, date of account creation, hashtags, and mentions. Natural language processing was utilized for tweet sentiment analysis and classified as positive, neutral, or negative. Instagram data was collected and deemed current as of August 11, 2021. The account foundation date analysis was based on the date recognized as the start of the COVID-19 outbreak in the United States, before or after March 1, 2020. RESULTS: A total of 85 (42.3%) orthopaedic surgery residency program Twitter handles were identified. Thirty-five (41.2%) programs joined Twitter in the nine months after the 2020 covid outbreak. In 2020, there was a 126.6% increase in volume of tweets by orthopaedic surgery residency accounts as compared to 2019. The median number of followers was 474.5 (interquartile range 205.0-796.5). The account with the highest number of tweets was Hospital for Special Surgery (@HSpecialSurgery) with 13776 tweets followed by University of Virginia (@UVA_Ortho) with 5063 and Yale (@OrthoAtYale) with 899. Sentiment analysis before 2020 revealed 30.4% positive, 60.8% neutral, and 8.8% negative sentiments across tweets. Interestingly, the positive sentiment percentage increased in 2020 from 30.4% to 34.5%. Of the 201 ACGME-accredited orthopaedic residency programs on Fellowship and Residency Electronic Interactive Database, 115 (57.2%) participate on Instagram, with 101 (87.8%) identified as ""resident""-managed vs 14 (12.2%) identified as ""department""-managed. Over three quarters (77.4%) of Instagram accounts were created after March 1, 2020. The average number of followers per account was 1089.5 with an average of 58.9 total posts. CONCLUSION: Our study demonstrates a substantial growth of Instagram and Twitter presence by orthopaedic surgery residency programs during the COVID-19 pandemic. These data suggest that orthopaedic residency programs have utilized social media as a new way to communicate with applicants and showcase their programs in light of the challenges presented by the pandemic.",2022,World journal of orthopedics,10.5312/wjo.v13.i8.693,2022-08-18,Joseph S Geller; Dustin H Massel; Michael G Rizzo; Ean Schwartz; Jacob Eric Milner; Chester J Donnally Iii,COVID-19; Orthopaedic surgery; Residency; Social media,0.15910778006913395,0.08701948381053289,True
34754832,Clinical outcome after surgery on schwannomas in the extremities.,"BACKGROUND: Schwannoma is a benign, encapsulated and slowly growing tumor originating from Schwann cells and is rarely seen in the peripheral nerve system. Typical symptoms are soreness, radiating pain and sensory loss combined with a soft tissue mass. AIM: To evaluate pre- and postoperative symptoms in patients operated for schwannomas in the extremities and investigate the rate of malignant transformation. METHODS: In this single center retrospective study design, all patients who had surgery for a benign schwannoma in the extremities from May 1997 to January 2018 were included. The location of the tumor in the extremities was divided into five groups; forearm, arm, shoulder, thigh and leg including foot. The locations of the tumor in the nerves were also categorized as either; proximal, distal, minor or major nerve. During the pre- and postoperative clinical evaluation, symptoms were classified as paresthesia, local pain, radiating pain, swelling, impairment of mobility/strength and asymptomatic tumors that were found incidentally (with magnetic resonance imaging). The patients were evaluated after surgery using the following categories: Asymptomatic or symptomatic patients (radiating and/or local pain) and those with complications. The follow up period was from the time of surgery until last examination of the particular physician. Multivariate logistic regression analysis was performed to identify independent prognostic factors for postoperative significant symptoms at follow-up. RESULTS: We identified 858 cases from the institutional pathology register. We excluded cases with duplicate diagnoses ( n = 407), pathology not including schwannomas ( n = 157), lesions involving the torso, spine and neck ( n = 150) leaving 144 patients for further analysis. In this group 99 patients underwent surgery and there were five complications recorded: 2 infections (treated with antibiotics) and 3 nerve palsies (2 involving the radial nerve and one involving the median nerve) that recovered spontaneously. At the end of follow-up, 1.4 mo (range 0.5-76) postoperatively, we recorded a post-operative decrease in clinical symptoms: Local pain 76% (6/25), radiating pain 97% (2/45), swelling 20% (8/10). Symptoms of paresthesia increased by 2.8% (37/36) and there was no change in motor weakness before and after surgery 1% (1/1). Multivariate analysis showed that tumors located within minor nerves had a significantly higher prevalence of postoperative symptoms compared with tumors in major nerves (odds ratio: 2.63; confidence intervals: 1.22-6.42, P = 0.029). One patient with schwannoma diagnosed by needle biopsy was diagnosed to have malignant transformation diagnosed in the surgically removed tumor. No local recurrences were reported. CONCLUSION: Surgery of schwannomas can be conducted with low risk of postoperative complications, acceptable decrease in clinical symptoms and risk of malignant transformation is low.",2021,World journal of orthopedics,10.5312/wjo.v12.i10.760,2021-10-18,Andreas Saine Granlund; Michala Skovlund Sørensen; Claus Lindkær Jensen; Birthe Højlund Bech; Michael Mørk Petersen,Extremities; Outcome; Removal; Schwannoma; Surgery; Symptoms,0.16176086891991487,0.13204556140916154,True
36439370,Genetics of congenital anomalies of the hand.,"Congenital anomalies of the hand are malformations occurring during the development of the human limb, and present as isolated disorders or as a part of a syndrome. During the last years, molecular analysis techniques have offered increasing knowledge about the molecular basis of hand malformations. Disturbances in the signaling pathways during the development of the upper limb result in malformations of the upper extremity. At present, several genes have been identified as responsible for hand anomalies and other have been recognized as suspect genes related to them. Different and new high throughput methods have been introduced for the identification of the gene mutations. In the current editorial, we summarize concisely the current molecular status of isolated hand genetic disorders and the recent progress in molecular genetics, including the genes related to the disorder. This progress improves the knowledge of these disorders and has implications on genetic counselling and prenatal diagnosis.",2022,World journal of orthopedics,10.5312/wjo.v13.i11.949,2022-11-18,Zisis Kyriazis; Panagoula Kollia; Ioanna Grivea; Sotirios Sotiriou; Zoe H Dailiana,Diagnosis; Disorders; Gene; Hand; Molecular; Mutation,0.16744390576703577,0.1109353084637054,True
